Results for 108th Congress,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,congress,Results for 109th Congress,Results for 110th Congress,Results for 111th Congress,Results for 112th Congress,Results for 113th Congress,Results for 114th Congress,Results for 115th Congress,Results for 116th Congress,Results for 117th Congress,Results for 118th Congress
,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,
Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3,108,,,,,,,,,,
Abercrombie,Neil,,,,06/26/1938,,2,U.S. Representative,Democrat,HI,1,01/03/1991,02/28/2010,Not specified,White,Doctorate degree,Education,,,,,Did not serve,,,108,,,,,,,,,,
Ackerman,Gary,L.,,,11/19/1942,,2,U.S. Representative,Democrat,NY,5,01/05/1993,01/03/2013,Jewish,White,Bachelor's degree,Business or banking,Education,Journalism,,,Did not serve,,,108,,,,,,,,,,
Aderholt,Robert,B.,,,07/22/1965,,2,U.S. Representative,Republican,AL,4,01/03/1997,01/03/2025,Protestant,White,Professional degree,Law,Public service/politics,,,,Did not serve,,,108,,,,,,,,,,
Akaka,Daniel,Kahikina,,,09/11/1924,04/06/2018,2,U.S. Senator,Democrat,HI,,05/16/1990,01/02/2013,Congregationalist,Asian American,Master's degree,Education,Public service/politics,,,,Army,,,108,,,,,,,,,,
Akin,W.,Todd,,,07/05/1947,,2,U.S. Representative,Republican,MO,2,01/03/2001,01/03/2013,Christian,White,Master's degree,Education,,,,,Did not serve,,,108,,,,,,,,,,
Alexander,Lamar,,,,07/03/1940,,2,U.S. Senator,Republican,TN,,01/03/2003,01/03/2021,Presbyterian,White,Professional degree,Public service/politics,,,,,Did not serve,,,108,,,,,,,,,,
Alexander,Rodney,,,,12/05/1946,,2,U.S. Representative,Democrat,LA,5,01/03/2003,08/08/2004,Baptist,White,High School graduate,Business or banking,Construction/building trades,,,,U.S. Air Force Reserve,,,108,,,,,,,,,,
Alexander,Rodney,,,,12/05/1946,,2,U.S. Representative,Republican,LA,5,08/08/2004,09/27/2013,Baptist,White,High School graduate,Business or banking,Construction/building trades,,,,U.S. Air Force Reserve,,,108,,,,,,,,,,
Allard,Wayne,,,,12/02/1943,,2,U.S. Senator,Republican,CO,,01/07/1997,01/05/2009,Protestant,White,Professional degree,Medicine,,,,,Did not serve,,,108,,,,,,,,,,
Allen,George,F.,,,03/08/1952,,2,U.S. Senator,Republican,VA,,01/03/2001,01/03/2007,Presbyterian,White,Bachelor's degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Allen,Thomas,,,Tom,04/16/1945,,2,U.S. Representative,Democrat,ME,1,01/07/1997,01/05/2009,Protestant,White,Professional degree,Congressional Aide,Law,Public service/politics,,,Did not serve,,,108,,,,,,,,,,
Andrews,Robert,E.,,,08/04/1957,,2,U.S. Representative,Democrat,NJ,1,01/03/1991,02/18/2014,Episcopalian,White,Professional degree,Education,Law,,,,Did not serve,,,108,,,,,,,,,,
Baca,Joe,,,,01/23/1947,,2,U.S. Representative,Democrat,CA,43,01/03/2003,01/03/2013,Roman Catholic,Hispanic,Bachelor's degree,Business or banking,,,,,Did not serve,,,108,,,,,,,,,,
Bachus,Spencer,,,,12/28/1947,,2,U.S. Representative,Republican,AL,6,01/05/1993,01/03/2015,Baptist,White,Professional degree,Business or banking,Law,,,,National Guard,,,108,,,,,,,,,,
